link,tweet,class
https://twitter.com/MetroEcuador/status/1785463995320979737 ,"Cámaras registraron el robo a un ciudadano en el sector La Ecuatoriana, en el sur de Quito. Posterior a ello, las cámaras de videovigilancia de un hostal captaron al presunto autor del atraco entregando el dispositivo y otros teléfonos en una vivienda, por lo que la Policía Nacional pudo descubrir a una banda involucrada en el presunto robo a personas en el sur de la capital.",Crimen
https://twitter.com/AlertaMundoNews/status/1780292799335690569,"🇪🇨 | Delicuentes asesinan a un conductor de autobús en medio de un robo en Guayaquil, Ecuador: La policía capturó a dos de los tres responsables del asesinato, entre ellos un adolescente de 14 años.",Crimen
https://twitter.com/LuisCrimenes/status/1782961492876304450,"Ecuador.

Un Ciudadano Estadounidense fue asesinado en el momento en que estaba comiendo en la ciudad de Manta.
Intentó evitar un robo al local,razón por la cual, lo impactaron 4 veces en diferentes partes del cuerpo.
Fue identificado como Richard Jackson Lewis y era turista.",Crimen
https://twitter.com/ecuadorprensaec/status/1785518622825168905,"ATRAPADOOOS!!!! TRAS VARIOS ALLANAMIENTOS 

En los allanamientos ejecutados en el Distrito #Portete, Guayaquil, se logró la aprehensión en flagrancia de cuatro sujetos, presuntos causantes del asalto y robo a un local comercial en Portal al Sol, vía a la Costa:

Los aprehendidos identificados como Óscar Danilo Tumbaco Balda (22 años)
Diego Alexander Alcívar Burgos (22 años)
Yorman Manuel Sánchez Vásconez (29 años)
Kevin Josué Carrión Medina (22 años) 

No registran antecedentes penales.

Indicios:
- 1 vehículo
- 1 moto
- 10 celulares.

#delincuentes #ViaALaCosta #terroristas #Ecuador #Guayaquil",Crimen
https://twitter.com/noticiasru593/status/1784368796569850014,"#Atentos🚨

En el cantón #Arenillas, un niño fue utilizado para #cometer un robo en una #veterinaria. El #incidente ocurrió en pleno barrio Central, específicamente en la calle #CésarEdmundoChiriboga entre Juan Pío Montufar y República del Ecuador, alrededor de las 11 de la mañana del sábado 27 de abril, cámara de seguridad registró el momento.",Crimen
https://twitter.com/UnidadN593/status/1783180124243874202,"👥#URGENTE vía - 
@EcuavisaInforma
 
📺 #Noticias 🚨 Un turista. estadounidense, que quiso evitar un robo a un restaurante de la playa Santa Marianita de #Manta, fue asesinado por los antisociales. Tenía 70 años"" Ecuador Sangre 🩸 Y Miseria.

Más detalles 📲 http://bit.ly/3QghDvo",Crimen
https://twitter.com/PoliciaEcuador/status/1784423248693743850,"POR EL DELITO DE ROBO A DOMICILIO 

En San Cristóbal #Galápagos, se aprehendió en flagrancia a un sujeto, quien habría forzado las seguridades de un inmueble para sustraer maquinarias y celulares.

#PolicíaEcuador
#Seguridad",Crimen
https://twitter.com/ultimahoraenx/status/1784397476369191211,"**Capturan Ladrón en Manabí: Enfrenta Justicia Popular**  
En Manabí, atrapan delincuente durante robo en hacienda; vecinos le aplican castigo físico y le obligan a limpiar.(ECUADOR)",Crimen
https://twitter.com/AndreyDLaMancha/status/1783661013562216468,"‼️#LINCHAMIENTO‼️

En Imbabura, Ecuador un delincuente fue quemado vivo por la ciudadanía tras perpetrar un robo en los interiores de una hacienda en San Rafael.🇪🇨🚨🚨

#NoboaNoPuede",Crimen
https://twitter.com/search?q=%40PoliciaEcuador&src=typed_query&f=top,"En el sector de #SanJuan, en Quito, la 
@PoliciaEcuador
 capturó a dos personas manipulando una máquina para falsificar papel moneda",Crimen
https://twitter.com/PoliciaEcuador/status/1785007879214285056,"#AHORA ||

2 CAPTURADOS POR ROBO A PERSONAS 

Tras alerta del ECU-911 y persecución ininterrumpida en #Sucumbíos, logramos la aprehensión de 2 antisociales (uno de ellos adolescente), quienes al percatarse de la presencia policial huyen a precipitada carrera; en su poder se encontró: 1 arma de fuego y 1 motocicleta, indicios que utilizarían para el cometimiento de este acto delictivo. 

#PolicíaEcuador 
#CeroImpunidad",Crimen
https://twitter.com/GoberCarchi/status/1785851588214435972,"🚨🇪🇨🇬🇳 Autoridades de control lideradas por 
@IntenCarchi
, 
@ARC_EnergiaEc
  y 
@PoliciaEcuador
 verificaron en el cantón Huaca la comercialización normal del GLP.",No Crimen
https://twitter.com/UnidadN593/status/1785717879528137121,"#URGENTE: José Villavicencio, presidente del FUT, asegura que tenían los permisos municipales para ocupar la Plaza de San Francisco de #Quito, pero los accesos se encuentran bloqueados por la 
@PoliciaEcuador
"" Ecuador tiene su Nicolás Maduro criollo, Daniel Noboa.
#DictaduraEc🇪🇨",No Crimen
https://twitter.com/PoliciaEcuador/status/1784935789828128920,Con vocación de servicio mantenemos firme nuestro #CompromisoInquebrantable de #ServirYProteger. #BuenInicioDeSemana #PolicíaEcuador,No Crimen
https://twitter.com/NielsOlsenP/status/1764008738409554052,"Felicidades a la 
@PoliciaEcuador
 en  su día, especialmente a todos los miembros de la Policía Turística. Su compromiso y valentía hacen del Ecuador un destino cada vez más seguro para todos.

#86AñosPolicíaEc",No Crimen
https://twitter.com/PoliciaEcuador/status/1750620714917404712,"CONMEMORAMOS 34 años de creación de la Unidad de Equitación y Remonta de la 
@PoliciaEcuador
.

Su labor es fundamental para mantener la seguridad y fortalecer el vínculo con la ciudadanía.

¡Felicidades a todos los uniformados de esta destacada unidad! 🐴👮‍♀️👮‍♂️✨

#CompromisoInquebrantable",No Crimen
https://twitter.com/Municipal92/status/1546483784706625538,"El alcalde Jorge Luis Feijoó Valarezo, saluda a los funcionarios municipales, miembros de la 
@PoliciaEcuador
 acantonada en Paltas y la delegación de estudiantes de la Unidad Educativa Domingo Celi, en el Minuto Cívico, en el que se conmemora el Día de las Telecomunicaciones.",No Crimen
https://twitter.com/PoliciaEcuador/status/1784264328515813808,"CONTINUAMOS EJECUTANDO OPERATIVOS🚔👮‍♀️👮‍♂️

En diferentes barrios conflictivos de #Esmeraldas, a fin de garantizar la #SeguridadCiudadana y mantener el control dentro de la provincia.

#PolicíaEcuador
#CompromisoInquebrantable",No Crimen
https://twitter.com/PoliciaEcuador/status/1784661707706511467,"OPERATIVOS ANTIDELINCUENCIALES 

En la vía a Puerto Limón, en  #SDTsáchilas, para fortalecer la #Seguridad ciudadana y el orden público.

#PolicíaEcuador
#CompromisoInquebrantable",No Crimen
https://twitter.com/OnDemand_News/status/1785836607515373571,"#Ecuador🇪🇨| Cuatro personas reportadas como desaparecidas mientras realizaban labores de pastoreo en Penipe, #Chimborazo, fueron encontradas en buenas condiciones, informó la 
@policiaecuador
.
#NewsOnDemandN",No Crimen
https://twitter.com/PoliciaEcuador/status/1785518063699308771,"🚨🚨AYÚDANOS A ENCONTRARLA🚨 

ESPINOSA MENESES LAURA MARÍA, reportada como desaparecida el 29 de abril de 2024, en #UIO.

📞 Si tienes información comunícate al 1800 DELITO (335486).",No Crimen
https://twitter.com/PoliciaEcuador/status/1785504467548508313,"DURANTE LA NOCHE EJECUTAMOS CONTROLES ANTIDELINCUENCIALES 🚔👮‍♀️ 🌜 

Mediante el registro a personas y vehículos en sectores estratégicos de #Esmeraldas, con la finalidad de mantener la #seguridad, el orden público y evitar el comedimiento de actos ilícitos.

#PolicíaEcuador
#Ahora",No Crimen
https://twitter.com/PoliciaEcuador/status/1785442100764397903,"#MoronaSantiago || Aprehendimos a 2 sujetos, quienes en su poder encontraron un arma de fuego y cartuchos. 

#PolicíaEcuador
#Seguridad",No Crimen
